PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PPG,APG,PER,FULL_NAME
1630173,2024-25,00,1610612752,NYK,25.0,57,10,1170.0,164,327,0.502,10,36,0.278,41,69,0.594,101,216,317,55,47,42,45,81,379,6.6,1.0,16.2,Precious Achiuwa
203500,2024-25,00,1610612745,HOU,31.0,58,3,794.0,91,167,0.545,0,2,0.0,43,93,0.462,166,161,327,66,22,28,54,60,225,3.9,1.1,19.3,Steven Adams
1628389,2024-25,00,1610612748,MIA,27.0,78,78,2674.0,540,1113,0.485,79,221,0.357,251,328,0.765,185,564,749,337,98,53,161,162,1410,18.1,4.3,22.9,Bam Adebayo
1630534,2024-25,00,1610612761,TOR,24.0,64,45,1739.0,266,534,0.498,101,253,0.399,34,48,0.708,61,181,242,98,58,30,54,125,667,10.4,1.5,15.3,Ochai Agbaji
1630583,2024-25,00,1610612763,MEM,24.0,65,16,1660.0,313,648,0.483,120,326,0.368,65,94,0.691,94,322,416,188,52,29,71,76,811,12.5,2.9,21.8,Santi Aldama
1641725,2024-25,00,1610612743,DEN,21.0,24,0,117.0,13,41,0.317,3,17,0.176,3,4,0.75,1,11,12,11,2,1,5,10,32,1.3,0.5,5.0,Trey Alexander
1629638,2024-25,00,1610612750,MIN,26.0,82,10,2073.0,270,616,0.438,141,370,0.381,92,118,0.78,54,211,265,223,50,34,99,139,773,9.4,2.7,14.5,Nickeil Alexander-Walker
1628960,2024-25,00,1610612756,PHX,29.0,64,7,1544.0,219,489,0.448,149,350,0.426,93,114,0.816,34,160,194,137,54,19,75,95,680,10.6,2.1,17.0,Grayson Allen
1628386,2024-25,00,1610612739,CLE,27.0,82,82,2296.0,452,640,0.706,0,5,0.0,199,277,0.718,216,582,798,158,77,73,97,127,1103,13.5,1.9,26.7,Jarrett Allen
1630631,2024-25,00,1610612740,NOP,27.0,56,23,1366.0,204,521,0.392,111,309,0.359,60,74,0.811,27,109,136,259,74,14,86,91,579,10.3,4.6,17.1,Jose Alvarado
203937,2024-25,00,1610612748,MIA,31.0,61,4,1002.0,142,303,0.469,25,70,0.357,48,65,0.738,53,153,206,145,40,33,37,81,357,5.9,2.4,18.5,Kyle Anderson
203507,2024-25,00,1610612749,MIL,30.0,67,67,2289.0,793,1319,0.601,14,63,0.222,436,707,0.617,147,651,798,433,58,78,206,155,2036,30.4,6.5,37.6,Giannis Antetokounmpo
1630175,2024-25,00,1610612753,ORL,24.0,67,22,1234.0,230,543,0.424,77,218,0.353,93,113,0.823,46,158,204,191,45,32,103,151,630,9.4,2.9,17.6,Cole Anthony
1628384,2024-25,00,1610612752,NYK,27.0,74,74,2706.0,489,1027,0.476,171,460,0.372,183,226,0.81,97,261,358,164,110,65,102,172,1332,18.0,2.2,18.8,OG Anunoby
1630166,2024-25,00,1610612757,POR,24.0,72,54,2161.0,402,844,0.476,125,342,0.365,290,372,0.78,110,412,522,281,71,35,196,171,1219,16.9,3.9,21.9,Deni Avdija
1629028,2024-25,00,1610612757,POR,26.0,40,40,1206.0,265,468,0.566,6,32,0.188,40,60,0.667,124,282,406,64,31,39,69,88,576,14.4,1.6,21.4,Deandre Ayton
1630542,2024-25,00,1610612755,PHI,23.0,10,4,253.0,27,69,0.391,5,32,0.156,8,10,0.8,23,47,70,10,9,12,7,16,67,6.7,1.0,13.9,Marcus Bagley
1628963,2024-25,00,1610612763,MEM,26.0,31,2,265.0,55,106,0.519,3,19,0.158,23,35,0.657,38,46,84,11,9,8,12,18,136,4.4,0.4,23.0,Marvin Bagley III
1631116,2024-25,00,1610612746,LAC,22.0,24,0,107.0,19,35,0.543,13,23,0.565,2,4,0.5,5,20,25,3,3,2,5,7,53,2.2,0.1,20.3,Patrick Baldwin Jr.
1630163,2024-25,00,1610612766,CHA,23.0,47,47,1505.0,406,1003,0.405,179,528,0.339,193,229,0.843,47,185,232,346,54,13,167,157,1184,25.2,7.4,24.8,LaMelo Ball
